Time elapsed was 577665348013ns or 577.665348013s
Time elapsed was 580150526674ns or 580.150526674s
Time elapsed was 582036622923ns or 582.036622923s
Time elapsed was 578338377146ns or 578.338377146s
Time elapsed was 579601348308ns or 579.601348308s
Time elapsed was 579504036656ns or 579.504036656s
Time elapsed was 579392336710ns or 579.392336710s
Time elapsed was 579082924048ns or 579.082924048s
Time elapsed was 581528533677ns or 581.528533677s
Time elapsed was 577991695970ns or 577.991695970s
