Time elapsed was 301446198435ns or 301.446198435s
Time elapsed was 304092310891ns or 304.092310891s
Time elapsed was 317061962020ns or 317.061962020s
Time elapsed was 302712701521ns or 302.712701521s
Time elapsed was 304679504474ns or 304.679504474s
Time elapsed was 305699312815ns or 305.699312815s
Time elapsed was 304830395047ns or 304.830395047s
Time elapsed was 305307745279ns or 305.307745279s
Time elapsed was 305499624837ns or 305.499624837s
Time elapsed was 305594932514ns or 305.594932514s
